Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.022156,13.516,16.686,0.216,0.379,15.853
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.039331,17.175,16.696,0.257,0.368,15.374
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.039599,30.498,33.390,0.130,0.169,15.119
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.055781,16.451,16.676,0.272,0.696,15.600
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.073768,17.986,16.675,0.266,0.539,14.289
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.074040,34.441,33.350,0.057,0.314,14.028
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.089231,15.463,16.676,0.231,0.404,15.503
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.089481,15.441,16.672,0.070,0.265,15.259
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.106110,16.879,16.665,0.234,0.412,15.288
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.106353,16.872,16.664,0.073,0.248,15.050
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.122191,16.081,16.671,0.202,0.365,15.878
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.139382,17.192,16.698,0.205,0.364,15.384
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.139592,33.239,33.370,0.055,0.210,15.181
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.155644,16.261,16.666,0.241,0.346,15.789
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.155894,16.302,16.667,0.167,0.253,15.546
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,0.168215,92.602,0.000,0.463,0.401,0.000
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.169961,1.746,83.405,0.304,0.281,18.177
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.172345,16.701,16.706,0.240,0.381,15.794
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.189596,17.251,16.651,0.227,0.459,15.194
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.189831,33.937,33.355,0.069,0.278,14.964
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,0.193323,23.362,0.000,0.305,0.309,0.000
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,0.195730,2.407,0.000,0.263,0.237,0.000
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,0.201803,6.072,0.000,0.286,0.260,0.000
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.202116,0.314,33.354,0.215,0.200,19.376
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.205658,16.062,16.703,0.249,0.381,15.835
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,0.206969,4.853,0.000,0.348,0.304,0.000
devenv.exe,32148,0x00000000313F3440,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,0.210975,4.006,16.704,0.406,0.370,27.221
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.222497,16.839,16.704,0.352,0.423,15.699
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.239201,16.704,16.644,0.273,0.375,15.639
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.255872,16.671,16.714,0.246,0.350,15.682
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,2,0,Hardware: Legacy Flip,0,0.288691,32.819,33.369,0.368,0.318,16.232
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.305795,17.104,16.654,0.273,0.388,15.783
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,0.306077,116.246,116.792,0.317,0.280,15.511
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.322541,16.746,16.700,0.390,0.427,15.736
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.339078,16.537,16.662,0.322,0.366,15.861
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.355559,16.481,16.667,0.266,0.309,16.047
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.372144,16.585,16.945,0.246,0.284,16.408
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.389293,17.149,16.436,0.256,0.874,15.694
